protocol	condition	replicate	unit_name	strandedness	colour	readlen	umi	umi_bc	adapters	fq1	fq2	sra
Gene_Yeo_UCSD_eCLIP	K562_FXR2_eCLIP	1	lane1	reverse	#FF5605	39	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF390XNM/@@download/ENCFF390XNM.fastq.gz	https://www.encodeproject.org/files/ENCFF179VQL/@@download/ENCFF179VQL.fastq.gz	
Gene_Yeo_UCSD_eCLIP	HepG2_HNRNPC_eCLIP	2	lane1	reverse	#FF5504	44	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF035QUK/@@download/ENCFF035QUK.fastq.gz	https://www.encodeproject.org/files/ENCFF065BIC/@@download/ENCFF065BIC.fastq.gz	
Gene_Yeo_UCSD_eCLIP	HepG2_HNRNPC_eCLIP	1	lane1	reverse	#FF5504	44	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF584MZO/@@download/ENCFF584MZO.fastq.gz	https://www.encodeproject.org/files/ENCFF040BGS/@@download/ENCFF040BGS.fastq.gz	
Gene_Yeo_UCSD_eCLIP	K562_ABCF1_eCLIP	1	lane1	reverse	#FF8B14	39	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF087VMD/@@download/ENCFF087VMD.fastq.gz	https://www.encodeproject.org/files/ENCFF212LWQ/@@download/ENCFF212LWQ.fastq.gz	
Gene_Yeo_UCSD_eCLIP	K562_ABCF1_eCLIP	2	lane1	reverse	#FF8B14	39	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF241MTQ/@@download/ENCFF241MTQ.fastq.gz	https://www.encodeproject.org/files/ENCFF781LAN/@@download/ENCFF781LAN.fastq.gz	
Gene_Yeo_UCSD_eCLIP	HepG2_SSB_eCLIP	2	lane1	reverse	#FF720D	44	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF527CYH/@@download/ENCFF527CYH.fastq.gz	https://www.encodeproject.org/files/ENCFF120ZCK/@@download/ENCFF120ZCK.fastq.gz	
Gene_Yeo_UCSD_eCLIP	HepG2_SSB_eCLIP	1	lane1	reverse	#FF720D	44	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF916XEL/@@download/ENCFF916XEL.fastq.gz	https://www.encodeproject.org/files/ENCFF432KDL/@@download/ENCFF432KDL.fastq.gz	
Gene_Yeo_UCSD_eCLIP	K562_DDX21_eCLIP	1	lane1	reverse	#FF740E	45	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF671GCD/@@download/ENCFF671GCD.fastq.gz	https://www.encodeproject.org/files/ENCFF946SJB/@@download/ENCFF946SJB.fastq.gz	
Gene_Yeo_UCSD_eCLIP	K562_DDX21_eCLIP	2	lane1	reverse	#FF740E	44	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF363TSA/@@download/ENCFF363TSA.fastq.gz	https://www.encodeproject.org/files/ENCFF253EGX/@@download/ENCFF253EGX.fastq.gz	
Gene_Yeo_UCSD_eCLIP	K562_UTP3_eCLIP	1	lane1	reverse	#FF8814	45	TRUE		Illumina	https://www.encodeproject.org/files/ENCFF037SFC/@@download/ENCFF037SFC.fastq.gz	https://www.encodeproject.org/files/ENCFF085FSS/@@download/ENCFF085FSS.fastq.gz	
